Frame,Leader_X,Leader_Y,Leader_Dir_X,Leader_Dir_Y,Follower1_X,Follower1_Y,Follower1_target_x,Follower1_target_y,Follower1_speed
0,0.0,0.0,1.0,0.0,-3.3163214,4.04,-3.54,3.54,0.54775184
0,0.0,0.0,1.0,0.0,-3.3568223,3.54,-3.54,3.54,0.50163764
1,0.0,0.0,1.0,0.0,-3.2498662,3.8707516,-3.54,3.54,0.3476151
2,0.0,0.0,1.0,0.0,-3.3022678,3.5860336,-3.54,3.54,0.28950006
3,0.0,0.0,1.0,0.0,-3.244437,3.796484,-3.54,3.54,0.21825165
4,0.0,0.0,1.0,0.0,-3.2816448,3.6273742,-3.54,3.54,0.17315471
5,0.0,0.0,1.0,0.0,-3.2482915,3.7577305,-3.54,3.54,0.13455561
6,0.0,0.0,1.0,0.0,-3.2721927,3.6545482,-3.54,3.54,0.10591439
7,0.0,0.0,1.0,0.0,-3.252163,3.7352219,-3.54,3.54,0.08312303
8,0.0,0.0,1.0,0.0,-3.2671862,3.6715765,-3.54,3.54,0.06539442
9,0.0,0.0,1.0,0.0,-3.25494,3.7215757,-3.54,3.54,0.051477097
10,0.0,0.0,1.0,0.0,-3.264325,3.6821594,-3.54,3.54,0.04051816
11,0.0,0.0,1.0,0.0,-3.2567801,3.713177,-3.54,3.54,0.031921957
12,0.0,0.0,1.0,0.0,-3.2626278,3.6887298,-3.54,3.54,0.025136849
13,0.0,0.0,1.0,0.0,-3.2579632,3.7079804,-3.54,3.54,0.019807722
14,0.0,0.0,1.0,0.0,-3.2616024,3.6928093,-3.54,3.54,0.015601433
15,0.0,0.0,1.0,0.0,-3.258713,3.7047594,-3.54,3.54,0.012294368
16,0.0,0.0,1.0,0.0,-3.2609758,3.6953423,-3.54,3.54,0.00968511
17,0.0,0.0,1.0,0.0,-3.2591846,3.7027612,-3.54,3.54,0.0076320497
18,0.0,0.0,1.0,0.0,-3.2605906,3.6969147,-3.54,3.54,0.006013175
19,0.0,0.0,1.0,0.0,-3.2594793,3.7015204,-3.54,3.54,0.004737936
20,0.0,0.0,1.0,0.0,-3.260353,3.6978915,-3.54,3.54,0.0037326869
21,0.0,0.0,1.0,0.0,-3.2596636,3.7007513,-3.54,3.54,0.002941777
22,0.0,0.0,1.0,0.0,-3.260206,3.6984978,-3.54,3.54,0.002317889
23,0.0,0.0,1.0,0.0,-3.2597783,3.700273,-3.54,3.54,0.0018260645
24,0.0,0.0,1.0,0.0,-3.2601151,3.6988747,-3.54,3.54,0.0014383339
25,0.0,0.0,1.0,0.0,-3.2598495,3.6999767,-3.54,3.54,0.0011335263
26,0.0,0.0,1.0,0.0,-3.2600586,3.699108,-3.54,3.54,0.0008936043
27,0.0,0.0,1.0,0.0,-3.2598937,3.6997924,-3.54,3.54,0.0007041024
28,0.0,0.0,1.0,0.0,-3.2600236,3.699253,-3.54,3.54,0.0005547355
29,0.0,0.0,1.0,0.0,-3.259921,3.699678,-3.54,3.54,0.00043705603
30,0.0,0.0,1.0,0.0,-3.2600017,3.699343,-3.54,3.54,0.000344535
31,0.0,0.0,1.0,0.0,-3.259938,3.6996067,-3.54,3.54,0.00027126598
32,0.0,0.0,1.0,0.0,-3.2599883,3.699399,-3.54,3.54,0.00021366907
33,0.0,0.0,1.0,0.0,-3.259949,3.6995628,-3.54,3.54,0.00016845146
34,0.0,0.0,1.0,0.0,-3.25998,3.699434,-3.54,3.54,0.00013242429
35,0.0,0.0,1.0,0.0,-3.2599556,3.6995354,-3.54,3.54,0.00010420528
36,0.0,0.0,1.0,0.0,-3.2599747,3.6994555,-3.54,3.54,8.211608e-05
37,0.0,0.0,1.0,0.0,-3.2599597,3.6995184,-3.54,3.54,6.470989e-05
38,0.0,0.0,1.0,0.0,-3.2599714,3.699469,-3.54,3.54,5.0716513e-05
39,0.0,0.0,1.0,0.0,-3.259962,3.6995077,-3.54,3.54,3.972729e-05
40,0.0,0.0,1.0,0.0,-3.2599695,3.6994772,-3.54,3.54,3.1399828e-05
41,0.0,0.0,1.0,0.0,-3.2599635,3.699501,-3.54,3.54,2.4575626e-05
42,0.0,0.0,1.0,0.0,-3.259968,3.699482,-3.54,3.54,1.960404e-05
43,0.0,0.0,1.0,0.0,-3.2599645,3.699497,-3.54,3.54,1.544025e-05
44,0.0,0.0,1.0,0.0,-3.2599676,3.6994855,-3.54,3.54,1.1856381e-05
45,0.0,0.0,1.0,0.0,-3.2599652,3.6994946,-3.54,3.54,9.368364e-06
46,0.0,0.0,1.0,0.0,-3.2599669,3.6994877,-3.54,3.54,7.11271e-06
47,0.0,0.0,1.0,0.0,-3.2599657,3.699493,-3.54,3.54,5.378968e-06
48,0.0,0.0,1.0,0.0,-3.2599666,3.6994889,-3.54,3.54,4.1638013e-06
49,0.0,0.0,-1,0,-3.259966,3.699492,3.5400002,-3.5399997,3.1809006e-06
50,0.0,0.0,-1,0,-3.759966,3.199492,3.5400002,-3.5399997,0.70710677
51,0.0,0.0,-1,0,-4.026445,2.699492,3.5400002,-3.5399997,0.5665784
52,0.0,0.0,-1,0,-3.895907,2.199492,3.5400002,-3.5399997,0.5167593
53,0.0,0.0,-1,0,-3.584294,1.699492,3.5400002,-3.5399997,0.5891541
54,0.0,0.0,-1,0,-3.1966558,1.199492,3.5400002,-3.5399997,0.6326638
55,0.0,0.0,-1,0,-2.77466,0.699492,3.5400002,-3.5399997,0.65427846
56,0.0,0.0,-1,0,-2.3189125,0.19949198,3.5400002,-3.5399997,0.67653966
57,0.0,0.0,-1,0,-1.8189125,-0.30050802,3.5400002,-3.5399997,0.70710677
58,0.0,0.0,-1,0,-1.3189125,-0.800508,3.5400002,-3.5399997,0.70710677
59,0.0,0.0,-1,0,-0.8189125,-1.300508,3.5400002,-3.5399997,0.70710677
60,0.0,0.0,-1,0,-0.3189125,-1.800508,3.5400002,-3.5399997,0.70710677
61,0.0,0.0,-1,0,0.1810875,-2.300508,3.5400002,-3.5399997,0.70710677
62,0.0,0.0,-1,0,0.6810875,-2.800508,3.5400002,-3.5399997,0.70710677
63,0.0,0.0,-1,0,1.1810875,-3.300508,3.5400002,-3.5399997,0.70710677
64,0.0,0.0,-1,0,1.6810875,-3.800508,3.5400002,-3.5399997,0.70710677
65,0.0,0.0,-1,0,2.1810875,-3.6454475,3.5400002,-3.5399997,0.5234919
66,0.0,0.0,-1,0,2.6810875,-3.3990908,3.5400002,-3.5399997,0.5573972
67,0.0,0.0,-1,0,3.1810875,-3.480005,3.5400002,-3.5399997,0.50650483
68,0.0,0.0,-1,0,3.6810875,-3.6269548,3.5400002,-3.5399997,0.521147
69,0.0,0.0,-1,0,3.5705464,-3.8470137,3.5400002,-3.5399997,0.2462626
70,0.0,0.0,-1,0,3.7035487,-3.5690255,3.5400002,-3.5399997,0.30816725
71,0.0,0.0,-1,0,3.5337412,-3.909826,3.5400002,-3.5399997,0.38076183
72,0.0,0.0,-1,0,3.7439713,-3.489597,3.5400002,-3.5399997,0.46988198
73,0.0,0.0,-1,0,3.4702952,-3.989597,3.5400002,-3.5399997,0.5699988
74,0.0,0.0,-1,0,3.8058732,-3.489597,3.5400002,-3.5399997,0.6021732
75,0.0,0.0,-1,0,3.4269075,-3.989597,3.5400002,-3.5399997,0.6273874
76,0.0,0.0,-1,0,3.8322563,-3.489597,3.5400002,-3.5399997,0.64366734
77,0.0,0.0,-1,0,3.4092722,-3.989597,3.5400002,-3.5399997,0.65491647
78,0.0,0.0,-1,0,3.8426714,-3.489597,3.5400002,-3.5399997,0.6616909
79,0.0,0.0,-1,0,3.402461,-3.989597,3.5400002,-3.5399997,0.666172
80,0.0,0.0,-1,0,3.8466454,-3.489597,3.5400002,-3.5399997,0.66880465
81,0.0,0.0,-1,0,3.3998852,-3.989597,3.5400002,-3.5399997,0.6705182
82,0.0,0.0,-1,0,3.8481407,-3.489597,3.5400002,-3.5399997,0.67151546
83,0.0,0.0,-1,0,3.398919,-3.989597,3.5400002,-3.5399997,0.67216074
84,0.0,0.0,-1,0,3.848701,-3.489597,3.5400002,-3.5399997,0.6725353
85,0.0,0.0,-1,0,3.3985577,-3.989597,3.5400002,-3.5399997,0.6727771
86,0.0,0.0,-1,0,3.8489106,-3.489597,3.5400002,-3.5399997,0.6729173
87,0.0,0.0,-1,0,3.3984227,-3.989597,3.5400002,-3.5399997,0.67300767
88,0.0,0.0,-1,0,3.8489883,-3.489597,3.5400002,-3.5399997,0.6730597
89,0.0,0.0,-1,0,3.3983724,-3.989597,3.5400002,-3.5399997,0.6730934
90,0.0,0.0,-1,0,3.8490179,-3.489597,3.5400002,-3.5399997,0.67311317
91,0.0,0.0,-1,0,3.3983538,-3.989597,3.5400002,-3.5399997,0.67312557
92,0.0,0.0,-1,0,3.8490283,-3.489597,3.5400002,-3.5399997,0.67313266
93,0.0,0.0,-1,0,3.3983467,-3.989597,3.5400002,-3.5399997,0.6731374
94,0.0,0.0,-1,0,3.8490326,-3.489597,3.5400002,-3.5399997,0.6731403
95,0.0,0.0,-1,0,3.3983438,-3.989597,3.5400002,-3.5399997,0.6731422
96,0.0,0.0,-1,0,3.8490343,-3.489597,3.5400002,-3.5399997,0.6731433
97,0.0,0.0,-1,0,3.3983428,-3.989597,3.5400002,-3.5399997,0.673144
98,0.0,0.0,-1,0,3.8490348,-3.489597,3.5400002,-3.5399997,0.6731443
99,0.0,0.0,-1,0,3.3983426,-3.989597,3.5400002,-3.5399997,0.67314446
0,0.0,0.0,-1,0,3.8490348,-3.489597,3.5400002,-3.5399997,0.67314446
0,0.0,0.0,-1,0,3.3983426,-3.989597,3.5400002,-3.5399997,0.67314446
